rank,category,Youtuber,video views,subscribers,,Category,Total_Views,Total_Subscribers
1,Music,T-Series,228000000000,245000000,,Music,3121477506633,5195000000
4,Education,Cocomelon - Nursery Rhymes,164000000000,162000000,,Entertainment,2527739309583,5158200000
5,Shows,SET India,148000000000,159000000,,People & Blogs,1265791201548,2779400000
16,Shows,Sony SAB,101000000000,83000000,,Education,696614472899,1194400000
7,People & Blogs,ýýý Kids Diana Show,93247040539,112000000,,Film & Animation,544422509313,1314900000
12,Sports,WWE,77428473662,96000000,,Shows,446206826909,541000000
10,Entertainment,Vlad and Niki,77180169894,98900000,,Sports,147986290620,298200000
22,Entertainment,Zee TV,73139054467,70500000,,,,
27,Shows,Colors TV,61510906457,64600000,,,,
30,Film & Animation,Movieclips,59316472754,59500000,,,,
11,Music,Zee Music Company,57856289381,96700000,,,,
32,Music,El Reino Infantil,57271630846,58400000,,,,
260,Music,netd mï¿½ï¿,56106087508,24100000,,,,
112,Entertainment,Ryan's World,55299840198,35200000,,,,
61,People & Blogs,ABS-CBN Entertainment,50292540392,44200000,,,,
25,Education,ChuChu TV Nursery Rhymes & Kids Songs,45757850229,65900000,,,,
81,Education,Super Simple Songs - Kids Songs,44900897958,39200000,,,,
57,Entertainment,HAR PAL GEO,41139050371,44600000,,,,
33,Music,Wave Music,40602020243,58000000,,,,
73,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,39450824833,40900000,,,,
23,Education,Pinkfong Baby Shark - Kids' Songs & Stories,38843229963,68200000,,,,
66,Entertainment,ARY Digital HD,37939780685,43200000,,,,
24,Music,Canal KondZilla,36775585925,66500000,,,,
65,Film & Animation,ýýýýýýýý ýý ýýýýýýýýýýýýýý,36458726976,43200000,,,,
83,Entertainment,WorkpointOfficial,36131228583,39000000,,,,
38,Film & Animation,YRF,35302243691,54600000,,,,
232,Comedy,LankyBox,34300482066,25400000,,,,
31,Music,Tips Official,33431802698,59300000,,,,
14,People & Blogs,BLACKPINK,32144597566,89800000,,,,
215,nan,D Billions,31977463002,26200000,,,,
295,Entertainment,Tsuriki Show,31494513067,23000000,,,,
47,Entertainment,Get Movies,30788679536,47500000,,,,
41,Education,Infobells - Hindi,30516172739,53300000,,,,
20,Music,Justin Bieber,30608119724,71600000,,,,
40,Music,Ed Sheeran,30367676736,53500000,,,,
42,Music,Taylor Swift,29884657286,52900000,,,,
126,Entertainment,Ch3Thailand,29611914495,33500000,,,,
379,Entertainment,Vijay Television,29406206620,20400000,,,,
8,Gaming,PewDiePie,29058044447,111000000,,,,
35,Music,Sony Music India,28837144516,57200000,,,,
21,Music,HYBE LABELS,28634566938,71300000,,,,
26,Music,Shemaroo Filmi Gaane,28648024439,65600000,,,,
3,Entertainment,MrBeast,28368841870,166000000,,,,
90,Shows,Sony PAL,28519339489,38200000,,,,
134,Music,DisneyMusicVEVO,28516250629,32700000,,,,
166,Entertainment,ýýýýýýýý ýýýýýýýý ýýýýýýýýýý | toyoraljanahtv,27684955537,30200000,,,,
64,People & Blogs,Shakira,27568757295,43500000,,,,
141,Music,SMTOWN,27330239663,31900000,,,,
121,Film & Animation,Galinha Pintadinha,27274550757,33800000,,,,
50,Music,SonyMusicIndiaVEVO,27286058807,46600000,,,,
94,Entertainment,ýýýýýýýýýýýý one31,27262462114,37500000,,,,
311,People & Blogs,LeoNata Family,27084848152,22600000,,,,
106,Music,La Granja de Zenï¿½,27118354077,35700000,,,,
